data,abertura,alta,baixa,fechamento
2025-04-01,5.6984,5.7484,5.6815,5.6984
2025-04-02,5.6813,5.712,5.6583,5.6813
2025-04-03,5.6637,5.7476,5.5867,5.6637
2025-04-04,5.6306,5.8221,5.6199,5.6306
2025-04-07,5.84,5.9255,5.7994,5.84
2025-04-08,5.9136,5.9926,5.8615,5.9136
2025-04-09,6.0133,6.1182,6.0025,6.0133
2025-04-10,5.8181,5.9503,5.8097,5.8181
2025-04-11,5.8843,5.9155,5.8152,5.8843
2025-04-14,5.8642,5.9198,5.8249,5.8642
2025-04-15,5.8542,5.8947,5.8285,5.8542
2025-04-16,5.8846,5.9732,5.8514,5.8846
2025-04-17,5.8654,5.896,5.8256,5.8654
2025-04-22,5.8069,5.8078,5.7355,5.8071
2025-04-23,5.7199,5.7471,5.6555,5.7199
2025-04-24,5.7034,5.7526,5.6626,5.7034
2025-04-25,5.6787,5.7056,5.6713,5.6787
2025-04-28,5.6847,5.7345,5.6465,5.6847
2025-04-29,5.6529,5.6808,5.62,5.6529
2025-04-30,5.62,5.6747,5.6006,5.62
2025-05-01,5.6729,5.6989,5.6641,5.6729
2025-05-02,5.6771,5.7517,5.621,5.6771
2025-05-05,5.6669,5.7379,5.6256,5.6669
2025-05-06,5.6863,5.7358,5.6786,5.6863
2025-05-07,5.7128,5.7461,5.6973,5.7128
2025-05-08,5.7446,5.7632,5.6603,5.7446
2025-05-09,5.6616,5.6851,5.6357,5.6616
2025-05-12,5.6482,5.7523,5.6402,5.6482
2025-05-13,5.6698,5.6905,5.5957,5.6698
2025-05-14,5.6005,5.6313,5.5756,5.6005
2025-05-15,5.6365,5.6499,5.6101,5.6365
2025-05-16,5.6813,5.7121,5.6638,5.6813
2025-05-19,5.6587,5.6878,5.6283,5.6587
2025-05-20,5.6445,5.6749,5.6371,5.6445
2025-05-21,5.6673,5.6973,5.6438,5.6673
2025-05-22,5.6447,5.6779,5.6092,5.6447
2025-05-23,5.7162,5.7976,5.6673,5.7162
2025-05-26,5.6452,5.6769,5.6358,5.6452
2025-05-27,5.6666,5.6868,5.638,5.6666
2025-05-28,5.6374,5.7111,5.6302,5.6374
2025-05-29,5.6887,5.701,5.6382,5.6887
2025-05-30,5.6651,5.7374,5.6481,5.6651
2025-06-02,5.7208,5.7881,5.6651,5.7208
2025-06-03,5.6724,5.7102,5.6407,5.6724
2025-06-04,5.6378,5.6583,5.6057,5.6378
2025-06-05,5.6321,5.6435,5.5846,5.6321
2025-06-06,5.5846,5.6163,5.5686,5.5846
2025-06-09,5.562,5.5963,5.5525,5.5627
2025-06-10,5.558,5.5686,5.5374,5.557
2025-06-11,5.5738,5.5791,5.5193,5.5721
2025-06-12,5.5358,5.5556,5.524,5.5358
2025-06-13,5.5373,5.5923,5.5289,5.5373
2025-06-16,5.5389,5.5853,5.4941,5.5389
2025-06-17,5.4908,5.5044,5.4647,5.4908
2025-06-18,5.493,5.5146,5.4752,5.493
2025-06-19,5.4852,5.4928,5.4779,5.4852
2025-06-20,5.49,5.5121,5.4703,5.49
2025-06-23,5.5184,5.5638,5.4957,5.5184
2025-06-24,5.4938,5.5106,5.4746,5.4938
2025-06-25,5.5103,5.5735,5.5021,5.5103
2025-06-26,5.5579,5.5604,5.4963,5.5579
2025-06-27,5.4771,5.5024,5.456,5.4771
2025-06-30,5.4784,5.5071,5.4232,5.4784
2025-07-01,5.4302,5.4676,5.4191,5.4302
2025-07-02,5.4588,5.4874,5.4264,5.4588
2025-07-03,5.4264,5.4449,5.4027,5.4264
2025-07-04,5.4093,5.4228,5.3967,5.4093
2025-07-07,5.4194,5.4681,5.4123,5.4194
2025-07-08,5.4877,5.49,5.4443,5.4877
2025-07-09,5.4461,5.4745,5.4393,5.4461
2025-07-10,5.5818,5.6174,5.5237,5.5818
2025-07-11,5.5311,5.5894,5.5227,5.5311
2025-07-14,5.5719,5.5842,5.5367,5.5719
2025-07-15,5.587,5.5988,5.5344,5.587
2025-07-16,5.551,5.5934,5.5477,5.551
2025-07-17,5.5666,5.6085,5.5533,5.5666
2025-07-18,5.5466,5.5631,5.5201,5.5466
2025-07-21,5.5781,5.6044,5.5433,5.5781
2025-07-22,5.5655,5.588,5.5472,5.5655
2025-07-23,5.5639,5.5752,5.5368,5.5639
2025-07-24,5.5164,5.5366,5.5076,5.5164
2025-07-25,5.52,5.5708,5.5121,5.52
2025-07-28,5.5652,5.6049,5.5511,5.5652
2025-07-29,5.5868,5.6066,5.5663,5.5868
2025-07-30,5.5732,5.6217,5.5656,5.5732
2025-07-31,5.5754,5.6214,5.5415,5.5754
2025-08-01,5.5988,5.6259,5.5246,5.5988
2025-08-04,5.5379,5.6108,5.4942,5.5379
2025-08-05,5.4961,5.5337,5.4884,5.4961
2025-08-06,5.503,5.507,5.4588,5.503
2025-08-07,5.4589,5.476,5.4497,5.4589
2025-08-08,5.4143,5.4398,5.4071,5.4143
2025-08-11,5.4323,5.4575,5.4238,5.4323
2025-08-12,5.4423,5.4437,5.3874,5.4423
